Id,Period,Data_value,Series_title_2
171,2017.03,11184.3,Hospitality
172,2018.03,12024.1,Hospitality
173,2019.03,12777.4,Hospitality
174,2020.03,13018.3,Hospitality
175,2021.03,11156.2,Hospitality
176,2022.03,11549.4,Hospitality
177,2001.03,,Services
178,2002.03,,Services
179,2003.03,,Services
180,2004.03,981.4,Services
181,2005.03,1129.4,Services
182,2006.03,1269.5,Services
183,2007.03,1412.3,Services
184,2008.03,1563.6,Services
185,2009.03,1671.6,Services
186,2010.03,1762.2,Services
187,2011.03,1846.8,Services
188,2012.03,1975,Services
189,2013.03,2096.4,Services
190,2014.03,2358.2,Services
191,2015.03,2591.7,Services
192,2016.03,2796.7,Services
193,2017.03,3023.5,Services
194,2018.03,3304.7,Services
195,2019.03,3525.6,Services
196,2020.03,3630,Services
197,2021.03,3465.2,Services
198,2022.03,3554.4,Services
199,2001.03,,Apparel
200,2002.03,,Apparel
201,2003.03,,Apparel
202,2004.03,2294.9,Apparel
203,2005.03,2421.6,Apparel
204,2006.03,2585.2,Apparel
205,2007.03,2771.2,Apparel
206,2008.03,2948.2,Apparel
207,2009.03,2957.2,Apparel
208,2010.03,3052.9,Apparel
209,2011.03,3114.2,Apparel
210,2012.03,3285.9,Apparel
211,2013.03,3309.4,Apparel
212,2014.03,3409.3,Apparel
213,2015.03,3426.9,Apparel
214,2016.03,3589.4,Apparel
215,2017.03,3739.1,Apparel
216,2018.03,3808.5,Apparel
217,2019.03,3768.5,Apparel
218,2020.03,3681.5,Apparel
219,2021.03,3551.5,Apparel
220,2022.03,3661.1,Apparel
221,2001.03,,Motor vehicles excl. fuel
222,2002.03,,Motor vehicles excl. fuel
223,2003.03,,Motor vehicles excl. fuel
224,2004.03,717.9,Motor vehicles excl. fuel
225,2005.03,813.1,Motor vehicles excl. fuel
226,2006.03,892,Motor vehicles excl. fuel
227,2007.03,972.9,Motor vehicles excl. fuel
228,2008.03,1076.2,Motor vehicles excl. fuel
229,2009.03,1083.4,Motor vehicles excl. fuel
230,2010.03,1133.6,Motor vehicles excl. fuel
231,2011.03,1178.3,Motor vehicles excl. fuel
232,2012.03,1268.6,Motor vehicles excl. fuel
233,2013.03,1354.4,Motor vehicles excl. fuel
234,2014.03,1494.1,Motor vehicles excl. fuel
235,2015.03,1634.8,Motor vehicles excl. fuel
236,2016.03,1799.9,Motor vehicles excl. fuel
237,2017.03,1938.9,Motor vehicles excl. fuel
238,2018.03,2038.5,Motor vehicles excl. fuel
239,2019.03,2117.4,Motor vehicles excl. fuel
240,2020.03,2174,Motor vehicles excl. fuel
241,2021.03,2251.4,Motor vehicles excl. fuel
242,2022.03,2325.8,Motor vehicles excl. fuel
243,2001.03,,Fuel
244,2002.03,,Fuel
245,2003.03,,Fuel
246,2004.03,2645.5,Fuel
247,2005.03,3346.7,Fuel
248,2006.03,3923.5,Fuel
249,2007.03,4448.4,Fuel
250,2008.03,4828.6,Fuel
251,2009.03,5287.5,Fuel
252,2010.03,4969.2,Fuel
253,2011.03,5538,Fuel
254,2012.03,6174.4,Fuel
255,2013.03,6888.9,Fuel
256,2014.03,7718.4,Fuel
257,2015.03,7444.5,Fuel
258,2016.03,7143.6,Fuel
259,2017.03,7158.4,Fuel
260,2018.03,7382.4,Fuel
261,2019.03,7508.4,Fuel
262,2020.03,6968.7,Fuel
263,2021.03,5687.1,Fuel
264,2022.03,6375.4,Fuel
265,2001.03,,Non-retail excl. services
266,2002.03,,Non-retail excl. services
267,2003.03,,Non-retail excl. services
268,2004.03,7892.3,Non-retail excl. services
269,2005.03,8997.1,Non-retail excl. services
270,2006.03,9716.9,Non-retail excl. services
271,2007.03,10782.3,Non-retail excl. services
272,2008.03,11907.6,Non-retail excl. services
273,2009.03,12174.4,Non-retail excl. services
274,2010.03,12399.8,Non-retail excl. services
275,2011.03,12927.2,Non-retail excl. services
276,2012.03,13631.6,Non-retail excl. services
277,2013.03,14008.7,Non-retail excl. services
278,2014.03,14784.4,Non-retail excl. services
279,2015.03,15323.1,Non-retail excl. services
